model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime
particle,25,2,2,100,2000,10000,0,0,3.8501039299000297,-0.7237284120314911,3.355002341728364,1.2188300002031558,NA,NA,0.1460687
franken,25,2,2,100,2000,10000,0,0,3.8665646532907934,-0.7190292480015763,3.377548978071287,1.2080449232210826,NA,NA,0.028702448
ideal,25,2,3,100,2000,10000,0,0,0.08712759750346266,0.01768841665370785,0.05310336163136141,0.016335819218393402,NA,NA,NA
particle,25,2,3,100,2000,10000,0,0,7.6694602610848674,-0.41184804170184974,7.118513323032406,0.96279497975431,NA,NA,0.126038346
franken,25,2,3,100,2000,10000,0,0,4.330685896144447,-0.3862325640277417,3.87789948433883,0.839018975833359,NA,NA,0.022975369
ideal,25,2,4,100,2000,10000,0,0,0.15478008225945106,0.18784191530637803,0.11060810986022125,-0.14366994290714824,NA,NA,NA
particle,25,2,4,100,2000,10000,0,0,8.04186995283474,-0.46488533567746576,7.383031781848973,1.1237235066632316,NA,NA,0.1345199
franken,25,2,4,100,2000,10000,0,0,4.056489318714442,-0.21210070214983212,3.552183591464828,0.7164064293994459,NA,NA,0.025298848
ideal,25,2,5,100,2000,10000,0,0,0.11063880713948188,0.1284897669909371,0.074777132878611,-0.09262809273006621,NA,NA,NA
particle,25,2,5,100,2000,10000,0,0,14.166293247705127,0.13629096632764356,13.617398675723082,0.4126036056544003,NA,NA,0.129074935
franken,25,2,5,100,2000,10000,0,0,9.60916491457738,-0.14926096374043263,9.103241567908421,0.6551843104093936,NA,NA,0.024424506
ideal,25,2,6,100,2000,10000,0,0,0.0555969155056133,0.06858720657535844,0.028326316230935913,-0.04131660730068105,NA,NA,NA
particle,25,2,6,100,2000,10000,0,0,17.110375994665002,0.04991036538448548,16.53983022369794,0.520635405582572,NA,NA,0.117005074
franken,25,2,6,100,2000,10000,0,0,11.413556982038964,-0.13917354466165605,10.873303680324625,0.6794268463759972,NA,NA,0.022873193
ideal,25,2,7,100,2000,10000,0,0,0.07563390297907933,0.03827695735450362,0.053651463922482,-0.01629451829790628,NA,NA,NA
particle,25,2,7,100,2000,10000,0,0,32.33601587243811,0.4620027544862174,31.67256434254381,0.20144877540808656,NA,NA,0.165353384
franken,25,2,7,100,2000,10000,0,0,18.79811336089152,-0.028073314207091693,18.24080699695691,0.5853796781416981,NA,NA,0.022539892
ideal,25,2,8,100,2000,10000,0,0,0.07858653518233748,0.03920384334226368,0.05159481551159624,-0.01221212367152243,NA,NA,NA
particle,25,2,8,100,2000,10000,0,0,35.989380071194454,0.6312731771828042,35.33170405282371,0.026402841187937495,NA,NA,0.083955856
franken,25,2,8,100,2000,10000,0,0,31.998201831230222,-0.026639534819510174,31.426358434932403,0.5984829311173355,NA,NA,0.025078308
ideal,25,2,9,100,2000,10000,0,0,0.15067526916894272,-0.0037361921376879437,0.12027919178615434,0.03413226952047635,NA,NA,NA
particle,25,2,9,100,2000,10000,0,0,54.08027202049299,0.429932422483717,53.500808350583625,0.1495312474256484,NA,NA,0.162120293
franken,25,2,9,100,2000,10000,0,0,65.64335471391826,-0.023673761388378234,64.94922006851571,0.7178084067909288,NA,NA,0.026576703
ideal,25,2,10,100,2000,10000,0,0,0.12058560584582295,0.13507899835792012,0.08163196140343046,-0.09612535391552762,NA,NA,NA
particle,25,2,10,100,2000,10000,0,0,91.59923072995501,1.0490832510872221,90.77877323681192,-0.22862575794412215,NA,NA,0.129378811
franken,25,2,10,100,2000,10000,0,0,90.44509362718466,0.3746120390859654,89.75984537165058,0.3106362164480975,NA,NA,0.02010118
ideal,25,3,1,100,2000,10000,0,0,0.048272906376353335,0.10347888583966064,0.01606644674795457,-0.07127242621126187
particle,25,3,1,100,2000,10000,0,0,0.0004285545904355873,0.0034299133877047916,0.00016433278916810998,-0.0031656915864373145
franken,25,3,1,100,2000,10000,0,0,0.002543254749897386,0.004585159244880899,0.0008762674095149697,-0.0029181719044984837
ideal,25,3,2,100,2000,10000,0,0,0.07415359908204372,0.11908604920088497,0.03325036486908996,-0.0781828149879312,NA,NA,NA
particle,25,3,2,100,2000,10000,0,0,4.65068309542132,-0.7156734090408895,4.161244569193903,1.205111935268305,NA,NA,0.146631955
franken,25,3,2,100,2000,10000,0,0,4.601301669861622,-0.7186856472989251,4.109972291008814,1.2100150261517322,NA,NA,0.024881086
ideal,25,3,3,100,2000,10000,0,0,0.09713220010921993,0.014533159152486097,0.06282561736269747,0.019773423594036374,NA,NA,NA
particle,25,3,3,100,2000,10000,0,0,5.424270469572173,-0.13955766363669536,4.850096654968781,0.7137314782400868,NA,NA,0.15335525
franken,25,3,3,100,2000,10000,0,0,4.278308595838937,-0.41257537220801677,3.8161419949540103,0.8747419730929441,NA,NA,0.025888646
ideal,25,3,4,100,2000,10000,0,0,0.15367794908036003,0.09032898441259049,0.12012456971071525,-0.05677560504294572,NA,NA,NA
